time,ano,resultado,data,hora,casa/fora,placar
sao-paulo,2004,V,2004-02-29,16:00,(F),1-2
sao-paulo,2004,D,2004-03-04,,(F),3-0
sao-paulo,2004,V,2004-03-07,18:00,(C),4-0
sao-paulo,2004,V,2004-03-10,,(C),1-0
sao-paulo,2004,V,2004-03-14,16:00,(F),1-2
sao-paulo,2004,D,2004-03-21,13:00,(C),0-2
sao-paulo,2005,V,2005-12-04,16:00,(C),3-1
sao-paulo,2004,V,2004-03-24,,(F),1-2
sao-paulo,2004,V,2004-04-07,,(C),3-1
sao-paulo,2004,E,2004-04-25,18:00,(F),1-1
sao-paulo,2004,V,2004-04-28,21:45,(C),1-0
sao-paulo,2004,V,2004-05-02,18:00,(F),2-3
sao-paulo,2004,D,2004-05-05,20:00,(F),1-0
sao-paulo,2004,V,2004-05-09,18:00,(F),1-2
sao-paulo,2004,V,2004-05-11,20:00,(C),2-1 (5-4 Pen.)
sao-paulo,2004,E,2004-05-16,18:00,(C),2-2
sao-paulo,2004,V,2004-05-18,20:00,(C),3-0
sao-paulo,2004,D,2004-05-23,18:00,(F),2-1
sao-paulo,2004,V,2004-05-25,20:00,(F),1-4
sao-paulo,2004,E,2004-05-30,16:00,(C),1-1
sao-paulo,2004,E,2004-06-08,20:00,(C),0-0
sao-paulo,2004,V,2004-06-12,18:00,(C),3-2
sao-paulo,2004,D,2004-06-15,20:00,(F),2-1
sao-paulo,2004,D,2004-06-20,16:00,(F),1-0
sao-paulo,2004,V,2004-04-22,20:30,(C),1-0
sao-paulo,2004,V,2004-07-03,16:00,(C),2-0
sao-paulo,2004,V,2004-07-06,20:30,(C),1-0
sao-paulo,2004,D,2004-07-10,16:00,(F),2-1
sao-paulo,2004,E,2004-07-13,21:45,(F),0-0
sao-paulo,2004,V,2004-07-17,20:30,(C),2-1
sao-paulo,2004,D,2004-07-20,21:45,(F),1-0
sao-paulo,2004,V,2004-07-24,16:00,(C),1-0
sao-paulo,2004,V,2004-07-28,21:45,(F),1-2
sao-paulo,2004,E,2004-08-01,18:00,(F),1-1
sao-paulo,2004,V,2004-08-05,20:30,(C),2-1
sao-paulo,2004,D,2004-08-08,16:00,(F),1-0
sao-paulo,2004,V,2004-08-11,20:30,(C),4-0
sao-paulo,2004,V,2004-08-19,19:30,(C),2-0
sao-paulo,2004,D,2004-08-22,15:00,(F),1-0
sao-paulo,2004,E,2004-08-28,16:00,(C),3-3
sao-paulo,2004,D,2004-09-01,20:30,(C),2-3
sao-paulo,2004,V,2004-09-08,20:30,(F),0-2
